Triazine_ID,SMILES,MolWt,LogP,TPSA,HBD,HBA,RotatableBonds,AromaticRings,n_triazine_rings
TRZ00081,Cc1nnc(-c2cc(-c3ccccc3)nc3ccccc23)nc1C,312.38,4.37,51.56,0,4,2,4,1
TRZ00082,Cc1nnc(-c2cccc3ccccc23)nc1C,235.29,3.31,38.67,0,3,1,3,1
TRZ00083,Cc1nnc(-c2cccs2)nc1C,191.26,2.22,38.67,0,4,1,2,1
TRZ00084,Cc1nnc(-c2cccc(Cl)c2)nc1C,219.67,2.81,38.67,0,3,1,2,1
TRZ00085,COc1cc(-c2nnc(C)c(C)n2)cc(OC)c1OC,275.31,2.18,66.36,0,6,4,2,1
TRZ00086,Cc1nnc(-c2cccc(N)c2)nc1C,200.24,1.74,64.69,1,4,1,2,1
TRZ00087,Cc1nnc(COc2ccccc2)nc1C,215.26,2.07,47.9,0,4,3,2,1
TRZ00088,CCOc1ccc(-c2nnc(C)c(C)n2)cc1,229.28,2.55,47.9,0,4,3,2,1
TRZ00089,Cc1nnc(-c2cnc[nH]2)nc1C,175.19,0.88,67.35,1,4,1,2,1
TRZ00090,Cc1nnc(CCc2c[nH]c3ccccc23)nc1C,252.32,2.75,54.46,1,3,3,3,1
TRZ00091,Cc1nnc(-c2ccccn2)nc1C,186.22,1.55,51.56,0,4,1,2,1
TRZ00092,Cc1nnc(COc2ccc(Cl)cc2Cl)nc1C,284.15,3.37,47.9,0,4,3,2,1
TRZ00093,COc1cc(OC)cc(-c2nnc(C)c(C)n2)c1,245.28,2.17,57.13,0,5,3,2,1
TRZ00094,Cc1nnc(Cc2ccc(Cl)cc2)nc1C,233.7,2.73,38.67,0,3,2,2,1
TRZ00095,COc1cc(-c2nnc(C)c(C)n2)ccc1O,231.26,1.87,68.13,1,5,2,2,1
TRZ00096,Cc1nnc(-c2ccsc2)nc1C,191.26,2.22,38.67,0,4,1,2,1
TRZ00097,Cc1nnc(Cc2ccsc2)nc1C,205.29,2.14,38.67,0,4,2,2,1
TRZ00098,Cc1nnc(-c2cncn2C)nc1C,189.22,0.89,56.49,0,4,1,2,1
TRZ00099,Cc1nnc(COc2ccc(Cl)cc2)nc1C,249.7,2.72,47.9,0,4,3,2,1
TRZ00100,Cc1nnc([C@@H](N)Cc2ccc(O)cc2)nc1C,244.3,1.44,84.92,2,5,3,2,1
TRZ00101,Cc1nnc(-c2ccc(C(C)(C)C)cc2)nc1C,241.34,3.45,38.67,0,3,1,2,1
TRZ00102,Cc1nnc(-c2ccccc2S(N)(=O)=O)nc1C,264.31,0.8,98.83,1,5,2,2,1
TRZ00103,COc1ccc(-n2[nH]c(-c3nnc(C)c(C)n3)c3ccc4nncc4c32)cc1,371.4,3.38,94.4,1,6,3,5,1
TRZ00105,Cc1nnc(-c2ccc(-c3ccccc3Cl)o2)nc1C,285.73,4.07,51.81,0,4,2,3,1
TRZ00106,Cc1nnc(COc2ccc3c(C)cc(=O)oc3c2)nc1C,297.31,2.48,78.11,0,6,3,3,1
TRZ00107,Cc1nnc(COc2ccc3c(C)c(C)c(=O)oc3c2)nc1C,311.34,2.79,78.11,0,6,3,3,1
TRZ00108,Cc1nnc(-c2nc[nH]c2C(=O)Nc2ccccn2)nc1C,295.31,1.53,109.34,2,6,3,3,1
TRZ00109,CCn1cc(-c2nnc(C)c(C)n2)c(=O)c2cc(F)c(N3CCOCC3)cc21,383.43,2.47,73.14,0,6,3,3,1
TRZ00110,CCn1cc(-c2nnc(C)c(C)n2)c(=O)c2cc(F)c(N3CCCCC3)cc21,381.46,3.62,63.91,0,5,3,3,1
TRZ00111,Cc1cc(C)cc(OCc2ccc(-c3nnc(C)c(C)n3)o2)c1,309.37,3.94,61.04,0,5,4,3,1
TRZ00112,Cc1nnc(-c2ccc(COc3ccc4ccccc4c3)o2)nc1C,331.38,4.48,61.04,0,5,4,4,1
TRZ00113,COc1ccc(-c2cc(-c3nnc(C)c(C)n3)[nH]n2)cc1OC,311.35,2.56,85.81,1,6,4,3,1
TRZ00114,Cc1ccc(NC(=O)c2[nH]cnc2-c2nnc(C)c(C)n2)cc1,308.35,2.44,96.45,2,5,3,3,1
TRZ00115,Cc1nnc(-c2sc(-c3ccccc3)c(C#N)c2C)nc1C,306.39,4.06,62.46,0,5,2,3,1
TRZ00116,COc1ccccc1OCc1ccc(-c2nnc(C)c(C)n2)o1,311.34,3.34,70.27,0,6,5,3,1
TRZ00117,Cc1nnc(-c2ccc(COc3ccc([N+](=O)[O-])cc3)o2)nc1C,326.31,3.24,104.18,0,7,5,3,1
TRZ00118,Cc1nnc(-c2cccc(Cn3cc(Br)c([N+](=O)[O-])n3)c2)nc1C,389.21,3.07,99.63,0,6,4,3,1
TRZ00119,Cc1nnc(-c2ccc(COCC(F)(F)C(F)F)cc2)nc1C,329.3,3.57,47.9,0,4,6,2,1
TRZ00120,Cc1cc(C)n(Cc2ccc(-c3nnc(C)c(C)n3)o2)n1,283.34,2.61,69.63,0,5,3,3,1
TRZ00121,Cc1nnc(-c2ccc(Cn3nc(C)c(Cl)c3C)o2)nc1C,317.78,3.26,69.63,0,5,3,3,1
TRZ00122,COc1cccc2[nH]c(-c3nnc(C)c(C)n3)c(N)c12,269.31,2.23,89.71,2,5,2,3,1
TRZ00123,Cc1nnc(-c2cccc(COCC(F)(F)C(F)F)c2)nc1C,329.3,3.57,47.9,0,4,6,2,1
TRZ00124,Cc1ccc(-n2nc(-c3nnc(C)c(C)n3)c(C)c(C#N)c2=O)cc1Cl,366.81,2.84,97.35,0,6,2,3,1
TRZ00126,Cc1nnc(-c2ccc(Cn3cccn3)o2)nc1C,255.28,1.99,69.63,0,5,3,3,1
TRZ00127,CCOc1ccc(OCc2ccc(-c3nnc(C)c(C)n3)o2)cc1,325.37,3.73,70.27,0,6,6,3,1
TRZ00128,Cc1nnc(C(c2ccccc2)c2ccccc2)nc1C,275.36,3.67,38.67,0,3,3,3,1
TRZ00129,Cc1nnc(-c2ccncn2)nc1C,187.21,0.95,64.45,0,5,1,2,1
TRZ00131,Cc1nnc(-c2[nH]c3ccccc3c2S(=O)(=O)c2ccccc2)nc1C,364.43,3.47,88.6,1,5,3,4,1
TRZ00132,Cc1nnc(-c2[nH]c3ccc(Cl)cc3c2S(=O)(=O)c2ccccc2)nc1C,398.88,4.12,88.6,1,5,3,4,1
