cmplx_smiles_neutral_std,Exp LgK1
Cc1cc(=O)c(O)c(C(=O)NCCN(CCNC(=O)c2oc(C)cc(=O)c2O)CCNC(=O)c2oc(C)cc(=O)c2O)o1.[Gd+3],19.03
[F-].[Dy+3],3.58
CC(O)CN(CCN(CC(C)O)CC(C)O)CCN(CC(C)O)CC(C)O.[H+],8.732
O=C(O)C(=O)O.[H+],3.9
[OH-].[Tl+],0.09
C=C(Cl)CC(C(C)=O)C(=O)c1ccccc1.[Mn+2],4.51
c1ccc(CN(CCN(Cc2ccccn2)Cc2ccccn2)Cc2ccccn2)nc1.[Co+2],16.59
O=C(O)CC(=O)O.[H+],5.14
O=C(O)CN(CC(=O)O)CC(=O)O.[Pr+3],11.07
CC(N)C(=O)O.[Cu+2],8.04
NCCO.[Ni+2],3.12
O=C(O)CC(S)C(=O)O.[Sm+3],6.24
CP(=O)(O)OP(=O)(O)O.[Mn+2],4.42
O=Nc1c(O)c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)ccc12.[Nd+3],5.01
Nc1ccn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1.[H+],6.56
CC(N)C(=O)O.[Ni+2],5.56
CP(=O)(O)CCC(N)C(=O)O.[Th+4],9.37
O=C(O)CCN(CC(=O)O)CC(=O)O.[H+],9.35
CC(N)C(=O)O.[Cu+2],8.02
OCCN(CCO)CCO.[Hg+2],6.9
CC(N)C(=O)O.[Cu+2],8.17
CCCCC(ON)C(=O)O.[H+],4.48
NCCNCCN.[H+],9.8
O=c1[nH]cccc1O.[H+],8.59
NC(CC(=O)O)C(=O)O.[Hg+2],6.72
CC(=O)O.[K+],-0.43
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O.[Ca+2],2.3
O=C(O)CN(CC(=O)O)CC(O)CN(CC(=O)O)CC(=O)O.[Yb+3],15.72
Cc1cccnc1.[H+],6
Cc1ccc([N+](=O)[O-])c(C)n1.[Ni+2],1.7
O=C(O)CC(O)(CC(=O)O)C(=O)O.[H+],5
CC(C)(CO)N1CCOCCOCCN(C(C)(C)CO)CCOCCOCC1.[H+],8.6
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O.[Eu+3],7.28
CC(=O)O.[Cu+2],1.3
CN1CCCN(C)CCN(CCO)CCCN(CCO)CC1.[Cu+2],17.2
NC(Cc1cnc[nH]1)C(=O)O.[V+3],12.9
c1ccc(-c2cccc(-c3ccccn3)n2)nc1.[Ni+2],10.7
NCCCCNCCCNCCNCCCNCCCCN.[H+],10.57
O=S(=O)([O-])[O-].[In+3],1.79
[F-].[Pb+2],1.6
O=C(O)CN(CCS)CC(=O)O.[Cd+2],16.72
c1ccc(CNCCCNCc2ccccn2)nc1.[Co+2],11.96
N#CCCNCCNCCNCCC#N.[H+],8.86
O=C(O)COc1ccccc1OCC(=O)O.[Ca+2],3.1
O=C(O)c1ccc(I)cc1O.[Cu+2],9.06
NC(=O)CC(N)C(=O)O.[Pb+2],3.71
CNCCN(C)C.[Ag+],3.22
c1c[nH]cn1.[Ni+2],3.03
O=C(O)CCC(NCCNC(CCC(=O)O)C(=O)O)C(=O)O.[Yb+3],14.52
O=Nc1ccc2ccccc2c1O.[H+],8.83
Cn1ccc(=O)c(O)c1.[Pb+2],8.44
C1COCCNCCOCCOCCN1.[Hg+2],16.65
O=C(O)CC(O)C(=O)O.[H+],4.72
O=P(O)(O)CN(CCN(CP(=O)(O)O)CP(=O)(O)O)CP(=O)(O)O.[Nd+3],21.47
CN(O)C(=O)CCC(=O)NCCC(=O)NCO.[Cd+2],6.08
O=C(O)C(Cl)Cl.[Ni+2],1.3
CC(C)C(N)C(=O)O.[Pb+2],4.02
O=C(O)CN(CC(=O)O)c1ccccc1.[Mn+2],1.58
NCCCN.[Ag+],6.24
CCOc1cc[n+]([O-])c(C(=O)O)c1.[Cu+2],3.76
N[C@H](C(=O)O)[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO.[Zn+2],4.62
O=C(O)c1cc(=O)[nH]c(=O)n1C1OC(COP(=O)(O)O)C(O)C1O.[Mn+2],2.49
NC(CCC(=O)O)C(=O)O.[H+],9.561
O=C(O)c1ccc(F)cc1.[Tb+3],1.89
NC(CO)C(=O)O.[Cu+2],8.55
O=C1CNCCNCC(=O)NCCN1.[H+],6.98
NCCCCNCCCN.[Hg+2],18.2
Oc1ccc(N=Nc2nccs2)c(O)c1.[Cu+2],13.55
O=S(=O)=C1C=C(NCCNCCNCCNC2=CC(=S(=O)=O)CC=C2O)C(O)=CC1.[In+3],24.54
Nc1nc(=O)c2[nH]cnc2[nH]1.[Cu+],9.89
Cc1ncc(CO)c(CN(CCN(CC(=O)O)Cc2c(CO)cnc(C)c2O)CC(=O)O)c1O.[H+],11.1
O=C(O)CN(CC(=O)O)CC(=O)O.[Fe+3],11.7
CC(C)c1cccc(C(C)C)c1.[Ag+],0.03
N[C@@H](Cc1ccccc1)C(=O)NCC(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(=O)O.[H+],7.53
NC(N)=NC(N)=NCCO.[Cu+2],9.96
NCC(N)C(=O)O.[Co+2],6.55
Cc1ncc(CO)c(CN)c1O.[Cd+2],4.9
CC(C)C(N)C(=O)O.[Zn+2],4.4
O=C(O)C1C2OC(C(O)C2O)C1C(=O)O.[Co+2],4.32
OCc1cccnc1.[H+],5.1
Nc1ncccc1O.[Ni+2],3.32
O=CO.[H+],3.58
O=C(O)c1cc(S(=O)(=O)O)ccc1O.[Nd+3],7.71
NC[C@@H](O)CC(=O)O.[Ni+2],8.47
O=C1NCCNCCNCCNCCNC(=O)C1Cc1ccccc1.[H+],9.01
CC(C)C[C@H](NC(=O)CN)C(=O)O.[Eu+3],2.45
CC(=O)NCC(=O)NCC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)NCC(=O)O.[Cu+2],3.95
CC(C)CC(N)C(=O)O.[Cu+2],7.59
CC(C)C[C@H](NC(=O)CN)C(=O)O.[H+],8.28
O=S(=O)(O)c1ccc2c(c1)OCCOCCOc1ccc(S(=O)(=O)O)cc1OCCOCCO2.[Eu+3],1.63
O=C(O)CN(CP(=O)(O)O)CP(=O)(O)O.[H+],10.8
N.[Cu+2],4.13
Cn1c(=O)c2[nH]c(Cl)nc2n(C)c1=O.[H+],5.44
CC(C)C[C@H](N)C(=O)NCC(=O)NCC(=O)O.[Yb+3],2.3
NC(Cc1ccc(O)c(O)c1)C(=O)O.[H+],11.45
CC(=O)O.[Zn+2],0.93
O=S(=O)([O-])[O-].[Eu+3],1.53
N#CC(N=Nc1cc(S(=O)(=O)O)ccc1O)=NNc1cc(S(=O)(=O)O)ccc1O.[Pb+2],13.99
O=C(O)COCC(=O)O.[Tb+3],5.23
NC(CCC(=O)O)C(=O)O.[Cu+2],8.115
NC(=O)CN(CC(=O)O)CC(=O)O.[Mn+2],5.05
CCCC(N)C(=O)O.[H+],9.53
Cc1nc2cncnc2n1C.[Cu+2],1.48
CC(C)(S)C(N)C(=O)O.[H+],10.244
O=S(=O)(O)CC(S)CS.[H+],12
O=C(O)C1CC(C(=O)O)C(C(=O)O)C1C(=O)O.[Gd+3],10.2
Nc1cc2c(c(O)c1O)C(=O)c1ccccc1C2=O.[Co+2],5.95
CP(=O)(O)CCC(N)C(=O)O.[H+],9
C=C(CC(=O)O)C(=O)O.[Dy+3],3.41
CC(C)C(N)C(=O)O.[Co+2],4.67
NC(=O)CC(N)C(=O)O.[H+],8.8
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C.[H+],10.05
CC(O)CN(CCO)CCN(CC(C)O)CC(C)O.[Cu+2],9.36
C1CNCCSCCN1.[Zn+2],7.54
O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O.[La+3],5
O=P(O)(O)CN(CP(=O)(O)O)CP(=O)(O)O.[Ni+2],9.85
NC1=NC(=O)CC(C(=O)Nc2ccccc2)S1.[Ca+2],3.88
Cn1ccc(N)nc1=O.[H+],4.64
CC(C(=O)O)C(=O)O.[Cd+2],2.58
O=C(O)CN1CCOCCOCCN(CC(=O)O)CCOCCOCC1.[Ca+2],8.707
CC(S)C(=O)O.[Ni+2],6.65
