cmplx_smiles_neutral_std,Exp LgK1
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O.[Mn+2],4.16
O=C(O)CS.[Co+2],8.25
CC(=O)C(=O)O.[Yb+3],1.56
Oc1ccccc1O.[Ce+3],8.65
CC(CO)(CO)C(=O)O.[H+],4.39
Oc1ccccc1O.[Sm+3],9.58
O=P(O)(O)CN(CCN(CP(=O)(O)O)CP(=O)(O)O)CP(=O)(O)O.[Ho+3],13.32
O=S(=O)(O)c1cc(I)c(O)c2ncccc12.[H+],7
O=C(O)C1CCCN1.[Hg+2],9.44
O=S(=O)(O)c1ccc(O)c(O)c1.[Al+3],16.6
COC(=O)CNC(=O)CNC(=O)[C@H](Cc1c[nH]cn1)NC(=O)CNC(=O)CN.[Zn+2],3.04
Oc1cccc2cccnc12.[H+],8.45
Cc1ncc2ncn(C)c2n1.[Zn+2],0.71
CC(O)C(N)C(=O)O.[H+],9.06
CC(C)(CO)[C@@H](O)C(=O)O.[Tb+3],3.31
N#C[S-].[Pu+3],0.04
[F-].[Cd+2],0.57
O=C(O)c1cc([N+](=O)[O-])ccc1O.[Mn+2],5.57
NCCC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)O.[Co+2],3.22
NCC(=O)NCC(=O)NCC(=O)O.[H+],8.601
[S-2].[Zn+2],8.31
CC(=O)O.[H+],5.01
Cn1ccnc1.[Ag+],2.95
CCCN(CCCS(=O)(=O)O)c1ccc(N=Nc2ccc(Br)cn2)c(O)c1.[Nd+3],8.33
NCc1ccccn1.[Cu+2],10.02
NC(Cc1ccccc1)C(=O)O.[Cu+2],8.96
CNC(P(=O)(O)O)P(=O)(O)O.[Zn+2],9.03
CCOC(=O)NCCN(CC(=O)O)CC(=O)O.[Zn+2],6.86
O=C(O)[C@H](CNCc1ccccc1O)NCc1ccccc1O.[Fe+3],28.63
NCC(=O)O.[Ni+2],5.58
c1ccc(CNCCCNCCNCCCNCc2ccccn2)nc1.[Cu+2],26.54
CC(C)(N)CN.[Ni+2],6.55
CSCC[C@H](NC(=O)[C@@H](N)Cc1ccccc1)C(=O)O.[H+],7.27
C1CSCCSCCN1.[H+],7.56
NC(CO)C(=O)O.[H+],9.09
O=C(O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1.[Cu+2],22.72
COc1ccc2cc(C(C)C(=O)O)ccc2c1.[H+],4.25
O=C(O)CN(CC(=O)O)CC(O)CN(CC(=O)O)CC(=O)O.[Dy+3],14.83
O=C(O)C1CCCN1.[Zn+2],5.15
O=C(O)C(O)(O)C(=O)O.[Tm+3],3.67
NC1CCCCC1N.[H+],9.78
O=C(O)c1cc(Cl)ccc1O.[Be+2],11.97
O=C(O)CN(CC(=O)O)CC(O)CN(CC(=O)O)CC(=O)O.[Ag+],5.28
O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O.[Eu+3],18.51
NCC(=O)NCC(=O)O.[Ni+2],4.11
O=S(=O)(O)c1cc(O)c(O)c(S(=O)(=O)O)c1.[Nd+3],14.28
O=C(O)COCCOCC(=O)O.[Tm+3],4.64
NC(=O)CC[C@H](N)C(=O)O.[Ni+2],5.3
O=C(O)CNS(=O)(=O)c1ccccc1[N+](=O)[O-].[Pb+2],6.9
C1CNCCNCCCNCCNC1.[Fe+3],24.1
O=[N+]([O-])c1ccc(O)c(O)c1.[Mg+2],5.21
O=C(O)CC(O)C(=O)O.[H+],4.74
CN(C)c1ccc(N=Nc2nccs2)c(C(=O)O)c1.[Ni+2],5.5
NCC(=O)O.[H+],9.57
CC(N)C(=O)NO.[Co+2],4.74
NC(Cc1ccccc1)C(=O)O.[Cd+2],4.51
CN1CCCN(C)CCN(CCO)CCCN(C)CC1.[Cd+2],8.2
O=C1CC(=O)N(c2ccccc2)C(=S)N1.[Ni+2],6.08
NC(CC(=O)O)C(=O)O.[Ce+3],5.77
Nc1nc(N)c2ncn(CCOCP(=O)(O)O)c2n1.[Co+2],2.43
Cc1nccn1C.[H+],7.73
COc1ccc(S(=O)(=O)N(CC(=O)O)CC(=O)NO)cc1.[H+],8.47
C[C@H](O)C(=O)O.[Lu+3],3.05
N#C[S-].[Ga+3],1.54
Cc1ccccc1N.[Ag+],1.51
N[C@H](C(=O)O)C(CC(=O)O)C(=O)O.[Ca+2],0.6
O=C(O)CN(CC(=O)O)Cc1ccco1.[Ag+],3.92
CN1CCNCCOCCOCCCCOCCOCCN(C2CCCCCCCCCCCCCCCCCCCCCCCCC2)CCN(C)CC1.[Ni+2],5.1
O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O.[Ni+2],19
O=S(=O)(O)CCN1CCOCC1.[Pr+3],3.39
OCCNCCNCCO.[Co+2],4.84
CSCCC(N)C(=O)NO.[Ni+2],6.55
N[C@@H](CP(=O)(O)O)C(=O)O.[Mg+2],2.59
Oc1cccnc1.[Ni+2],1.44
O=Nc1ccc2cccc(S(=O)(=O)O)c2c1O.[Dy+3],5.21
C[C@H](O)C(=O)O.[Sm+3],6.63
CCCC(CCC)(C(=O)O)C(=O)O.[H+],7.15
NCC(=O)NCC(=O)NCC(=O)O.[Yb+3],2.5
CCN(CC)C(=O)c1cccnc1.[Ni+2],1.39
OCCN1CCCN(CCO)CCN(CCO)CCCN(CCO)CC1.[H+],9.25
CN(C)[C@@H]1C(=O)/C(=C(\N)O)C(=O)[C@@]2(O)C(=O)C3=C(O)c4c(O)ccc(Cl)c4[C@@H](O)[C@H]3C[C@@H]12.[Sr+2],4.06
NCCCN(CCO)CCO.[H+],10.19
OCCS.[Pb+2],6.74
NC(CO)C(=O)O.[Cu+2],8.034
O=C1CC(=O)N(c2ccccc2)C(=S)N1.[Zn+2],7.3
Oc1ccc(N=Nc2ccccn2)c(O)c1.[Ce+3],9.61
O=P(O)(O)CN(CP(=O)(O)O)CP(=O)(O)O.[Ni+2],9.3
O=C(O)CNCC(=O)O.[H+],9.33
O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O.[Dy+3],19.98
NCC(=O)O.[Ni+2],5.63
CC(N)C(=O)NC(C)C(=O)NC(C)C(=O)NC(C)C(=O)O.[H+],7.94
Nn1c(=O)[nH][nH]c1=O.[Ni+2],2.65
CCCC(N)C(=O)NO.[H+],9.125
O=S(=O)([O-])[O-].[Cu+2],1.38
c1ccc2cnccc2c1.[Cu+2],2.55
CC(S)C(=O)O.[Dy+3],5.62
CC(SC(C)C(=O)O)C(=O)O.[Ag+],3.81
Nc1ncnc2nc[nH]c12.[H+],9.73
CCCCC(C(=O)O)C(=O)O.[Cr+3],6.92
CC(C)C[C@H](NC(=O)CN)C(=O)O.[Cu+2],5.964
CCc1c(O)c(=O)ccn1CC.[Fe+3],15.21
CC(CN)C(=O)O.[Cu+2],8.1
Cc1ccc(O)c(N=Nc2c(O)cc(S(=O)(=O)O)c3ccccc23)c1.[Cd+2],12.59
O=C(O)C1(O)CC(O)C(O)C(O)C1.[H+],3.32
O=C(O)CSCC(=O)O.[H+],4.0721
O=C(O)[C@@H](O)[C@H](O)C(=O)O.[H+],3.94
O=CO.[Co+2],0.73
NCC(N)=O.[Ni+2],4.2
Cc1ccc(SCC(=O)O)cc1.[H+],3.45
CC[C@H](C)[C@H](NC(=O)CN)C(=O)O.[H+],8.26
O=C(O)c1ccccc1C(=O)O.[Eu+3],4.12
C[C@]12C(=O)NC(=O)N[C@H]1[C@H]1NC(=O)NC(=O)[C@]12C.[H+],8.6
NC(=O)c1cccnc1.[Ni+2],1.34
NCC(=O)N1CCCC1C(=O)O.[Y+3],3.8
O=C(CCCCCCCCC(=O)NO)NO.[Zn+2],8.8
CNCC(N)=NO.[H+],8.26
O=[N+]([O-])c1ccc(O)c(O)c1.[Sr+2],2.81
NC(Cc1cnc[nH]1)C(=O)O.[Co+2],6.56
O=C(O)CCC(=O)O.[Ni+2],1.62
NC(=O)NN(CC(=O)O)CC(=O)O.[Cd+2],5.7
CC(C)(S)C(N)C(=O)O.[Fe+2],8.8
CCC(=O)O.[H+],4.82
NCC(=O)O.[Sm+3],6.45
O=C(O)CO.[Hg+2],3.06
O=C(O)CN(CCOCCN(CC(=O)O)CC(=O)O)CC(=O)O.[Er+3],17.99
O=C(O)CSC(CC(=O)O)C(=O)O.[Cd+2],3.9
NCCc1ccc(O)cc1.[Zn+2],8.52
Nc1cnccn1.[Ag+],1.81
O=S(=O)(O)c1ccc2c(c1)OCCOCCOc1ccc(S(=O)(=O)O)cc1OCCOCCO2.[La+3],2.07
O=C(O)CCBr.[Cu+2],1.67
O=C(O)c1ccccn1.[Zn+2],5.3
O=C(O)c1cc2cc(S(=O)(=O)O)cc(O)c2cc1O.[H+],12.355
O=C(O)CCC(=O)O.[Ce+3],2.18
NCCNCCN.[Cu+2],16.1
NC(=O)[C@@H](N)Cc1ccccc1.[Cu+2],4.42
Ic1cccnc1.[Ag+],1.8
O=S(=O)(O)CC(O)CN(CCO)CCO.[H+],7.576
CCC(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O.[Pr+3],16.1
O=C(O)CN(CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)CCN(CC(=O)O)CC(=O)O.[H+],10.19
CC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)NCC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)O.[Cu+2],6.9
NCCN1CCOCC1.[Cu+2],6.6
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O.[H+],9.46
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O.[H+],7.04
CN=C(NC#N)NCCSCc1nc[nH]c1C.[Cu+2],4.16
O=P([O-])([O-])OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-].[Ca+2],5.46
CO[P+](=O)O.[Cu+2],3.49
c1ccc(CN(Cc2ccccn2)Cc2ccccn2)nc1.[Ho+3],1.79
NNC(=O)NN.[Cd+2],2.37
CCOC(=O)NCCN(CC(=O)O)CC(=O)O.[Mn+2],4.6
O=C(O)C(=O)O.[Ce+3],5.04
CC(C)C[C@H](NC(=O)[C@H](N)C(C)C)C(=O)O.[Co+2],2.33
CC(=O)NCC(=O)O.[Co+2],0.54
O=[N+]([O-])c1ccc(O)cc1O.[Yb+3],6.46
Cc1cnc(C)c(O)c1C=O.[Mn+2],2.91
NCC(=O)O.[Ni+2],5.64
NC(CC(=O)O)C(=O)O.[Gd+3],5.65
O=C(O)CNCC(=O)O.[H+],9.6
c1ccc(-c2ccccn2)nc1.[Zn+2],5.13
O=S(=O)(O)c1cc(O)c2c(O)cc(S(=O)(=O)O)cc2c1.[Ga+3],17.8
O=C(O)C[Se]CC(=O)O.[Zn+2],2.1
Nc1nsc2ccccc12.[H+],2.45
O=C(O)c1cc([N+](=O)[O-])ccc1O.[H+],10.13
c1ccc2c(c1)OCCN1CCOCCOCCN(CCO2)CCOc2ccccc2OCC1.[Ba+2],5.65
O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O.[La+3],9.31
O=C(O)c1ccc(C(=O)O)cc1.[H+],5.03
O=C(O)COCC(=O)O.[H+],4.94
Nc1ncnc2nc[nH]c12.[H+],9.42
O=C(O)c1ccccn1.[Tm+3],4.31
O=C(O)CN(CC(=O)O)CC(O)CN(CC(=O)O)CC(=O)O.[Co+2],14.48
OC(c1ccccn1)(c1ccccn1)c1ccccn1.[H+],4.7
CCCC(N)C(=O)O.[Cu+2],7.5
CNCC(=O)O.[Fe+2],3.52
O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O.[Bk+3],19.16
CC(N)C(=O)O.[H+],9.33
C[C@H](O)C(=O)O.[Be+2],1.3
O=C(O)C(O)C(O)C(=O)O.[H+],4
O=C(O)CN(CC(=O)O)CP(=O)(O)O.[Zn+2],9
[I-].[Sn+2],0.7
Cc1cc(C)cc(O)c1.[H+],10.16
CCCCOP(=O)(O)OP(=O)(O)O.[Ba+2],2.38
CC(=O)NO.[Zn+2],5.75
O=C(O)CNCCNCC(=O)O.[Ni+2],13.65
Nc1ncnc2n[nH]nc12.[Mg+2],5.1
O=C(O)CN(CCSCCN(CC(=O)O)CC(=O)O)CC(=O)O.[Yb+3],14.32
NCC(=O)O.[H+],9.83
O=N[O-].[Cu+2],1.341
O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O.[Sm+3],18.38
Nc1ncnc2nc[nH]c12.[Co+2],8.26
CNCC(=O)O.[Zn+2],4.31
CC(N)C(=O)NC(C)C(=O)O.[Ni+2],3.51
C1CNCCCNCCOCCOCCNC1.[H+],10.07
CN1CCOCCN2CCOCCOCCN(CCOCCOCC2)CC1.[Sr+2],7.4
CSCCC(N)C(=O)O.[Sm+3],5.04
O=P(O)(CNCc1ccccn1)Oc1ccccc1O.[Co+2],9.6
O=C(O)C(=O)O.[Pb+2],5.08
O=C(O)C(O)c1ccccc1.[Ni+2],1.65
COc1ccccc1C(=O)c1c(C)[nH]n(-c2ccccc2)c1=O.[H+],3.94
N.[Cd+2],2.8
CC(=O)CC(C)=O.[La+3],4.71
C1CNCCOCCNCCNCCOCCN1.[Pb+2],9.01
c1ccc(CCCCCc2ccccn2)nc1.[Zn+2],1
CC(O)(P(=O)(O)O)P(=O)(O)O.[Cu+2],11.84
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O)c2cc1C.[Co+2],2.41
CNCCNCCNCCNCCNCCNC.[Cu+2],21.58
NCC(=O)NCC(=O)NCC(N)=O.[Cu+2],4.77
O=C(O)CCC(NCCNC(CCC(=O)O)C(=O)O)C(=O)O.[Pb+2],8.45
NCC(=O)O.[Cd+2],4.12
Cn1cnc2c(N)ncnc21.[H+],4.45
O=C(O)CN(CC(=O)O)CC(=O)O.[Al+3],11.097
Oc1cccc2cccnc12.[Ga+3],12.31
Oc1ccccc1O.[Cu+2],13.58
CC(O)(P(=O)(O)O)P(=O)(O)O.[Mg+2],6.17
NCCC(=O)NO.[H+],9.59
O=C(O)C1CCCN1.[Ni+2],6.1
c1ccncc1.[H+],5.34
O=C(O)CC(O)(CC(=O)O)C(=O)O.[H+],5.78
NCC(=O)O.[H+],10.6
CN(C)CCc1cnc[nH]1.[Zn+2],3.4
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O.[Zn+2],4.28
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O.[Mn+2],4.16
O=c1cccccc1O.[Tb+3],7.15
NCC(CN)(CN)CN.[Co+2],7.6
O=C(C(=S)C(=O)c1ccccc1)c1ccccc1.[Ce+3],7
NCCN(CCN)CCN(CCN)CCN.[Ni+2],19.16
CN1C(=O)CC(=O)NC1=S.[Co+2],6.24
Cc1ccc(S(=O)(=O)NCCC(=O)O)cc1.[Pb+2],6.5
O=C(O)CNCC(=O)O.[Ba+2],1.67
O=C(NO)c1ccccc1.[La+3],8.15
CC(C)CC(NC(=O)CN)C(=O)NCC(=O)O.[Cu+2],5.37
O=C(O)COCC(=O)O.[H+],3.95
O=c1nc[nH]c2c1ncn2C1OC(CO)C(O)C1O.[Cu+2],4.5
NC(CC(=O)O)C(=O)O.[La+3],5.61
O=C(CCCCC(=O)NO)NO.[Fe+3],17.6
O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)C(=O)O.[H+],2.98
[F-].[Ba+2],-0.18
NCCN1CCCN(CCN)CCN(CCN)CCCN(CCN)CC1.[H+],10.14
O=C(O)CNC(=O)c1ccccc1O.[Cu+2],5.37
c1ccc(CNCc2ccccn2)nc1.[Ni+2],9.3
NNc1ccccn1.[Zn+2],5.4
Cc1cccc(C(O)S(=O)(=O)O)n1.[Zn+2],4.79
O=C(c1ccccc1)N(O)c1ccccc1.[H+],8.14
O=P([O-])([O-])OP(=O)([O-])[O-].[H+],8.09
c1ccc(-c2ccccn2)nc1.[Ni+2],7.07
CC(O)C(N)C(=O)O.[H+],8.93
Cc1occc(=O)c1O.[Hf+4],13.16
NC(Cc1cnc[nH]1)C(=O)O.[Ni+2],8.3
O=C(O)C1CCCN1.[Cu+2],8.6
NC(N)=NC(N)=NCCCO.[H+],11.5
O=S(=O)(O)c1ccc(O)c2ncccc12.[H+],8.21
O=C(CS)Nc1cccc(O)c1.[H+],8.89
CCC(C)(O)C(=O)O.[H+],3.7
O=C(O)CCC(=O)Nc1ccccc1NC(=O)CCC(=O)O.[H+],6
O=C(O)c1cc(=O)[nH]c(=O)[nH]1.[Zn+2],6.04
N[C@@H](C(=O)O)[C@@H](O)[C@H](O)[C@H](O)CO.[H+],9.06
CCCCC(NC(=O)CN)C(=O)O.[Cu+2],5.92
CCC(N)C(=O)O.[Co+2],4.164
O=C(O)CN(CCOCCOCCN(CC(=O)O)CC(=O)O)CC(=O)O.[Mg+2],4.72
CC(S)C(=O)O.[H+],10.03
Cc1cc[nH]n1.[H+],3.59
O=C(O)C(O)c1ccccc1.[Zn+2],1.36
O=C(O)c1cccc(O)c1.[H+],9.7
O=C(O)CN(CC(=O)O)Cc1ccccc1O.[Cu+2],16.11
NC(Cc1c[nH]c2ccccc12)C(=O)O.[Zn+2],4.88
CCCc1cccc[n+]1[O-].[Co+2],1.55
NC(Cc1cnc[nH]1)C(=O)O.[H+],9.06
O=C(O)C(S)C(S)C(=O)O.[Ni+2],11.69
O=P([O-])([O-])OP(=O)([O-])[O-].[H+],8.45
Nc1ncccc1C(=O)O.[Mn+2],2.82
O=c1cc(CO)occ1O.[Al+3],7.66
CC(=O)c1ccccc1N(CC(=O)O)CC(=O)O.[Cd+2],7.37
N[C@@H](CS)C(=O)NCC(=O)O.[H+],9.37
CC(=O)O.[Ho+3],1.72
C1CNCCCNCCOCCNC1.[H+],10.097
O=C(O)CN(CC(=O)O)c1ccccc1N(CC(=O)O)CC(=O)O.[Er+3],15.55
O=C(O)CN(CC(=O)O)C1C(=O)NC(=O)NC1=O.[Eu+2],11.56
CC(P(=O)(O)O)P(=O)(O)O.[K+],1.2
Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1.[H+],4.49
O=c1ccn(C2OC(CO)C(O)C2O)c(=O)[nH]1.[Zn+2],2.41
O=C(O)C1(C(=O)O)CCC1.[H+],5.42
NCC(O)c1ccc(O)c(O)c1.[Mn+2],7.44
CC(C)[C@H](N)C(N)=O.[Cu+2],4.55
COCCN(CC(=O)O)CC(=O)O.[Ba+2],3.56
O=C(O)CP(c1ccccc1)c1ccccc1.[Cu+],6.9
c1ccncc1.[Hg+2],5.1
NC(CCC(=O)O)C(=O)O.[Mn+2],4.04
O=C(O)CNc1ccccc1Cl.[H+],4.18
O=CC(=O)O.[Ce+3],2.39
NCC(=O)O.[Nd+3],5.86
NCC(=O)O.[Cu+2],8.23
O=c1cc[nH]c(=O)[nH]1.[Cu+2],6.04
NCC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)NCC(=O)O.[H+],9.78
O=P(O)(O)CN1CCCN(CP(=O)(O)O)CCN(CP(=O)(O)O)CCCN(CP(=O)(O)O)CC1.[Cd+2],16.7
O=C(O)CC(=O)O.[H+],5.36
C=Cn1ccnc1C.[Cd+2],2.06
O=C(O)c1cccc(Br)c1O.[Fe+3],11.2
CC(C(N)C(=O)O)P(=O)(O)O.[Zn+2],7.13
CCCN(CCCS(=O)(=O)O)c1ccc(N=O)c(O)c1.[Ni+2],7.82
CN(C)CP(=O)(O)O.[H+],10.9
Cc1ccc(N(CC(=O)O)CC(=O)O)c(N(CC(=O)O)CC(=O)O)c1.[Be+2],6.88
O=C(O)CN(CC(=O)O)CC(=O)O.[Fe+3],11.7
c1c[nH]cn1.[Zn+2],3.36
O=C(NCCOCCNC(=O)c1cccc(=O)n1O)c1cccc(=O)n1O.[Eu+3],12.46
Cc1cnccn1.[Ag+],1.65
O=C(O)CN1CCN(CCCO)CCN(CC(=O)O)CCN(CC(=O)O)CC1.[Ca+2],14.18
O=C(O)c1cccnc1.[Cu+2],3.22
c1ccc(CNCCN(CCNCc2ccccn2)CCNCc2ccccn2)nc1.[Zn+2],15.62
O=C(O)CN(CCc1ccccc1)CC(=O)O.[Ba+2],2.4
NC(CCC(=O)O)C(=O)O.[Cr+2],4.53
Nc1ccc(C(=O)O)cc1.[Ce+3],2.27
N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N1CCC[C@@H]1C(=O)O.[Zn+2],5.1
NC(Cc1cnc[nH]1)C(=O)O.[Cu+2],10.37
N[C@@H](Cc1nc(I)[nH]c1I)C(=O)O.[Cd+2],3.62
O=C(O)CCC(NCCNC(CCC(=O)O)C(=O)O)C(=O)O.[Eu+2],2.5
O=C(O)CN(CC(=O)O)CC(=O)c1cccs1.[Cu+2],8.79
CC(=O)CC(C)=Nc1ccccc1S(=O)(=O)O.[H+],5.9
O=S(=O)([O-])[O-].[H+],1.13
NC(Cc1cc(=O)c(O)c[nH]1)C(=O)O.[Ca+2],3.32
[Br-].[Pb+2],0.72
CN(O)C(=O)CCC(=O)NCCCCC(=O)NCO.[Zn+2],7.97
[F-].[Tm+3],3.58
CC(C)CC(ON)C(=O)O.[Co+2],1.71
CCC(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O.[H+],11.22
O=C(O)c1cccc(Br)c1O.[H+],10.64
CC[C@H](C)[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CS)NC(C)=O)C(=O)N[C@@H](Cc1cnc[nH]1)C(N)=O.[Ni+2],4.03
CCc1ccccn1.[Ag+],2.29
O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[Ca+2],1.05
O=c1nc[nH]c2c1ncn2C1OC(CO)C(O)C1O.[Pr+3],4.21
O=C(O)[C@H](O)[C@@H](O)C(=O)O.[Sm+3],3.5
c1cnsc1.[Zn+2],0.36
C[C@H](N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](C)C(=O)O.[Zn+2],3.69
[F-].[Ni+2],0.18
c1ccc(CN2CCOCCOCCN(Cc3ccccn3)CCOCCOCC2)nc1.[Sr+2],4.87
O=C(O)CN(CCOc1ccccc1)CC(=O)O.[Ca+2],3.31
O=C(O)CNCCNCCNCCNCC(=O)O.[Ca+2],3.17
CC(N)(Cc1ccc(O)cc1)C(=O)O.[H+],10.239
CCCCCC(=O)CC(C)=O.[H+],10
CC(=O)CC(C)=O.[Tb+3],5.79
NC(CS)C(=O)O.[Ni+2],9.82
CC(=O)NO.[Co+2],5.42
O=P(O)(O)CN(CCN(CP(=O)(O)O)CP(=O)(O)O)CP(=O)(O)O.[Mg+2],5.49
C1COCCN2CCOCCOCCN(CCO1)CCOCCOCC2.[K+],6
CC(N)C(=O)O.[H+],9.7
NCCCCNCCCN.[H+],10.68
NCCC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)O.[Cu+2],8.49
N#C[S-].[Cd+2],1.31
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O.[H+],6.52
CC(C)[C@H](NCc1ccc2ccc3ccc(CN[C@H](C(=O)O)C(C)C)nc3c2n1)C(=O)O.[H+],9.68
Cc1ncc2ncn(C)c2n1.[Cu+2],1.78
C(CCCN1CCNCCNCC1)CCCN1CCNCCNCC1.[Zn+2],15.2
CC(O)C(N)C(=O)O.[H+],8.86
[N-]=[N+]=[N-].[Ag+],2.49
NCC(=O)NCC(=O)O.[Cu+2],5.91
COc1ccccc1[Se]CC(=O)O.[Zn+2],0.71
O=C(O)CN(CCCN(CC(=O)O)CC(=O)O)CC(=O)O.[Tl+3],30.9
O=C(O)CN(CCO)CCO.[Zn+2],5.38
O=C(O)CN1CCOCCOCCN(CC(=O)O)CCOCC1.[Lu+3],10.33
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O.[Ca+2],3.7
Oc1ccccc1O.[H+],11.49
O=C(O)CCC(NCCNC(CCC(=O)O)C(=O)O)C(=O)O.[Y+3],13.52
O=C(Cc1cccs1)N[C@@H]1C(=O)N2C(C(=O)O)=C(C[n+]3ccccc3)CS[C@H]12.[Mn+2],4.22
OCCN1CCN(CCO)CCN(CCO)CC1.[Cd+2],10.59
NCC(=O)O.[Zn+2],4.88
O=C(O)[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)O.[Gd+3],4.51
CC(O)C(N)C(=O)O.[Cd+2],4
CSCCC(N)C(=O)O.[Fe+2],3.24
O=C1C=C/C(=C(/c2ccc(O)c(O)c2)c2ccccc2S(=O)(=O)O)C=C1O.[Al+3],25.12
O=C(O)C(=O)O.[Cu+2],4.84
N#CCCNCCNCCNCCC#N.[Cu+2],13
NC(=O)CCNCCCNCCC(N)=O.[Cu+2],10.25
O=C(O)C1CCCC(C(=O)O)N1.[Zn+2],6.1
O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O.[H+],9.35
c1ccc(-c2ccccn2)nc1.[H+],4.63
NCC(=O)N1CCCC1C(=O)O.[Ni+2],4.757
C(CNCCc1nnn[nH]1)NCCc1nnn[nH]1.[Zn+2],11.17
CC(C(C)N(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O.[Ho+3],19.97
O=C(O)CC(O)C(=O)O.[H+],4.608
O=C(O)C(NCCCNC(C(=O)O)c1ccccc1O)c1ccccc1O.[Ca+2],6.17
CNC(C)C(N)=O.[Cu+2],4.58
O=C(O)Cc1cccc(CN(CCN(CC(=O)O)Cc2cccc(C(=O)O)n2)CC(=O)O)n1.[Gd+3],15.1
c1c[nH]cn1.[Cd+2],2.71
O=Nc1cc(S(=O)(=O)O)c2cccc(S(=O)(=O)O)c2c1O.[H+],6.67
NC(Cc1ccccc1)C(=O)O.[H+],9.32
c1ccc(CNCCNCCNCc2ccccn2)nc1.[Co+2],14.73
O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O.[Mg+2],10.32
NCCCCN(CCN)Cc1cccc(CN(CCN)CCCCN)c1O.[Zn+2],13.38
Cc1ncc(CO)c(CN)c1O.[Ni+2],6.464
O=C(O)c1cccc(C(=O)O)n1.[Co+2],7
O=C(O)CN(CC(=O)O)CC(=O)O.[Am+3],10.87
O=P(O)(O)CN(CP(=O)(O)O)C1CCCCC1N(CP(=O)(O)O)CP(=O)(O)O.[H+],10.73
NCC(=O)N1CCCC1C(=O)O.[Cd+2],3.25
O=C(O)[C@@H]1CC[C@H](C(=O)O)[Se]1.[Cd+2],2.7
C1COCCOCCOCCOCCOCCO1.[Tl+],2.98
NC(=O)CN(CC(N)=O)CC(N)=O.[La+3],2.3
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O.[Cu+2],6.07
O=N/C=C1\C=CC=CN1.[Ni+2],8.1
NCC(=O)NCC(=O)NCC(=O)O.[Zn+2],3.28
O=C(O)[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)O.[Er+3],4.64
NC(=O)CCNCCNCCC(N)=O.[Ni+2],7.59
O=C(O)CN(CCCOCCCN(CC(=O)O)CC(=O)O)CC(=O)O.[Cd+2],14.22
Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1.[Mg+2],0.12
C[C@H](O)C(=O)O.[Ho+3],2.72
CN(CC(=O)O)C(=O)CN.[Cu+2],6.34
