Triazine_ID,SMILES,Source_Hydrazide_SMILES
TRZ05495,Cc1cc(F)c(F)c2c1NC(=Cc1nnc(C)c(C)n1)C(C)(C)N2,CC1=CC(=C(C2=C1NC(=CC(=O)NN)C(N2)(C)C)F)F
TRZ05496,Cc1nnc([C@H](C)C2CCC(c3ccnc4ccc(F)cc34)CC2)nc1C,C[C@H](C1CCC(CC1)C2=C3C=C(C=CC3=NC=C2)F)C(=O)NN
TRZ05497,Cc1nnc(-c2ccc(C(F)(F)F)c(NCCCCNC(=O)O)c2)nc1C,C1=CC(=C(C=C1C(=O)NN)NCCCCNC(=O)O)C(F)(F)F
TRZ05498,Cc1nnc(-c2cc(F)c3c(c2)N([C@@H](C)[C@H]2CCN(C(=O)O)C[C@H]2C)CCC3=O)nc1C,C[C@@H]1CN(CC[C@@H]1[C@H](C)N2CCC(=O)C3=C2C=C(C=C3F)C(=O)NN)C(=O)O
TRZ05499,Cc1nnc(-c2cc(F)c3c(c2)N(C(C)[C@H]2CCN(C(=O)O)C[C@H]2C)CCC3=O)nc1C,C[C@@H]1CN(CC[C@@H]1C(C)N2CCC(=O)C3=C2C=C(C=C3F)C(=O)NN)C(=O)O
TRZ05500,Cc1nnc(-c2ccc(C(F)(F)F)c(NC3CCC(CNC(=O)O)CC3)c2)nc1C,C1CC(CCC1CNC(=O)O)NC2=C(C=CC(=C2)C(=O)NN)C(F)(F)F
TRZ05501,Cc1nnc(-c2cc(F)c3c(c2)N([C@@H](C)C2CCC(N(C(=O)O)C(C)(C)C)CC2)CC(C)O3)nc1C,CC1CN(C2=C(O1)C(=CC(=C2)C(=O)NN)F)[C@@H](C)C3CCC(CC3)N(C(=O)O)C(C)(C)C
TRZ05502,Cc1nnc(-c2ccc(C(F)(F)F)c(NC(C)C3CC4(C3)CN(C(=O)OC(C)(C)C)C4)c2)nc1C,CC(C1CC2(C1)CN(C2)C(=O)OC(C)(C)C)NC3=C(C=CC(=C3)C(=O)NN)C(F)(F)F
TRZ05503,CO/N=C1\CCN([C@@H](C)[C@H]2CCN(C(=O)O)C[C@H]2C)c2cc(-c3nnc(C)c(C)n3)cc(F)c21,C[C@@H]1CN(CC[C@@H]1[C@H](C)N2CC/C(=N\OC)/C3=C2C=C(C=C3F)C(=O)NN)C(=O)O
TRZ05504,CO/N=C1\CCN(C(C)[C@H]2CCN(C(=O)O)C[C@H]2C)c2cc(-c3nnc(C)c(C)n3)cc(F)c21,C[C@@H]1CN(CC[C@@H]1C(C)N2CC/C(=N\OC)/C3=C2C=C(C=C3F)C(=O)NN)C(=O)O
TRZ05505,Cc1nnc(-c2ccc(C(F)(F)F)c(NC3CCC(CCNC(=O)O)CC3)c2)nc1C,C1CC(CCC1CCNC(=O)O)NC2=C(C=CC(=C2)C(=O)NN)C(F)(F)F
TRZ05506,Cc1nnc(-c2cc(F)c(C(F)(F)F)c(N[C@@H](C)[C@H]3CCN(C(=O)O)C[C@H]3F)c2)nc1C,C[C@@H]([C@H]1CCN(C[C@H]1F)C(=O)O)NC2=C(C(=CC(=C2)C(=O)NN)F)C(F)(F)F
TRZ05507,Cc1nnc(-c2cc(F)c(C(F)(F)F)c(NC(C)[C@H]3CCN(C(=O)O)C[C@H]3F)c2)nc1C,CC([C@H]1CCN(C[C@H]1F)C(=O)O)NC2=C(C(=CC(=C2)C(=O)NN)F)C(F)(F)F
TRZ05508,Cc1nnc(-c2ccc(C(F)(F)F)c(/C=C/C3OCC(NC(=O)O)CO3)c2)nc1C,C1C(COC(O1)/C=C/C2=C(C=CC(=C2)C(=O)NN)C(F)(F)F)NC(=O)O
TRZ05509,Cc1nnc(-c2ccc(C(F)(F)F)c(NC3CCC(CCN(Cc4ccccc4)C(=O)O)CC3)c2)nc1C,C1CC(CCC1CCN(CC2=CC=CC=C2)C(=O)O)NC3=C(C=CC(=C3)C(=O)NN)C(F)(F)F
TRZ05510,Cc1nnc(-c2cc(F)c3c(c2)N([C@@H](C)C2CCC(NC(=O)O)CC2)CC(C)O3)nc1C,CC1CN(C2=C(O1)C(=CC(=C2)C(=O)NN)F)[C@@H](C)C3CCC(CC3)NC(=O)O
TRZ05511,Cc1nnc(-c2ccc(OC(F)(F)F)cc2NC(=O)Nc2cc(F)cc(F)c2)nc1C,C1=CC(=C(C=C1OC(F)(F)F)NC(=O)NC2=CC(=CC(=C2)F)F)C(=O)NN
TRZ05512,Cc1nnc(-c2ccc(OC(F)(F)F)cc2NC(=O)Nc2cc(Cl)cc(Cl)c2)nc1C,C1=CC(=C(C=C1OC(F)(F)F)NC(=O)NC2=CC(=CC(=C2)Cl)Cl)C(=O)NN
TRZ05513,Cc1nnc(-c2ccc(OC(F)(F)F)cc2NC(N)=O)nc1C,C1=CC(=C(C=C1OC(F)(F)F)NC(=O)N)C(=O)NN
