molecule_id,triazine_smiles,metal,cmplx_smiles
TRZ00868,Cc1nnc(CNC(=O)COc2ccccc2)nc1C,Zn2+,Cc1nnc(CNC(=O)COc2ccccc2)nc1C.[Zn+2]
TRZ00868,Cc1nnc(CNC(=O)COc2ccccc2)nc1C,Fe2+,Cc1nnc(CNC(=O)COc2ccccc2)nc1C.[Fe+2]
TRZ00868,Cc1nnc(CNC(=O)COc2ccccc2)nc1C,Fe3+,Cc1nnc(CNC(=O)COc2ccccc2)nc1C.[Fe+3]
TRZ00913,Cc1nnc(CSc2c(-c3ccccc3)c3cc(Cl)ccc3[nH]c2=O)nc1C,Cu2+,Cc1nnc(CSc2c(-c3ccccc3)c3cc(Cl)ccc3[nH]c2=O)nc1C.[Cu+2]
TRZ00913,Cc1nnc(CSc2c(-c3ccccc3)c3cc(Cl)ccc3[nH]c2=O)nc1C,Zn2+,Cc1nnc(CSc2c(-c3ccccc3)c3cc(Cl)ccc3[nH]c2=O)nc1C.[Zn+2]
TRZ00913,Cc1nnc(CSc2c(-c3ccccc3)c3cc(Cl)ccc3[nH]c2=O)nc1C,Fe2+,Cc1nnc(CSc2c(-c3ccccc3)c3cc(Cl)ccc3[nH]c2=O)nc1C.[Fe+2]
TRZ00913,Cc1nnc(CSc2c(-c3ccccc3)c3cc(Cl)ccc3[nH]c2=O)nc1C,Fe3+,Cc1nnc(CSc2c(-c3ccccc3)c3cc(Cl)ccc3[nH]c2=O)nc1C.[Fe+3]
TRZ00927,Cc1nnc(CNC(=O)CNS(=O)(=O)c2ccccc2)nc1C,Cu2+,Cc1nnc(CNC(=O)CNS(=O)(=O)c2ccccc2)nc1C.[Cu+2]
TRZ00927,Cc1nnc(CNC(=O)CNS(=O)(=O)c2ccccc2)nc1C,Zn2+,Cc1nnc(CNC(=O)CNS(=O)(=O)c2ccccc2)nc1C.[Zn+2]
TRZ00927,Cc1nnc(CNC(=O)CNS(=O)(=O)c2ccccc2)nc1C,Fe2+,Cc1nnc(CNC(=O)CNS(=O)(=O)c2ccccc2)nc1C.[Fe+2]
