Triazine_ID,SMILES,MolWt,LogP,TPSA,HBD,HBA,RotatableBonds,AromaticRings,n_triazine_rings,mol,Donor_pos,has_donor_pos1,has_donor_pos2,has_donor_pos3,has_pos2_bridged,has_pos3_bridged,has_pos2_notbridged,has_pos3_notbridged,pos2_inring,pos2_notinring,pos3_inring,pos3_notinring,ring_status,total_rings,extra_donors,has_plain_phenyl,tridentate,max_similarity,Has_Hydrazine,Has_Acyl_Hydrazide
TRZ01987,Cc1nnc(COc2c(Br)cc(Br)c3cccnc23)nc1C,424.1,4.14,60.79,0,5,3,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016B1D9F50>,only_pos2_bridged,False,True,False,True,False,False,False,False,True,False,False,pos2_notinring,3.0,2.0,False,True,0.28125,,
TRZ02058,Cc1nnc(C(Cc2ccccc2)NC(=O)C(C)(C)NC(=O)OCc2ccccc2)nc1C,447.54,3.59,106.1,2,6,8,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016B1DBD10>,only_pos2_bridged,False,True,False,True,False,False,False,False,True,False,False,pos2_notinring,3.0,3.0,False,True,0.25,,
TRZ02129,Cc1nnc(CNC(=O)CNC(=O)c2ccccc2)nc1C,299.33,0.53,96.87,2,5,5,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016B1DDA80>,only_pos2_bridged,False,True,False,True,False,False,False,False,True,False,False,pos2_notinring,2.0,2.0,False,True,0.27419354838709675,,
TRZ02133,Cc1nnc(COc2ccccc2O)nc1C,231.25,1.77,68.13,1,5,3,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016B1DDC40>,only_pos2_bridged,False,True,False,True,False,False,False,False,True,False,False,pos2_notinring,2.0,2.0,False,True,0.32727272727272727,,
TRZ02180,Cc1ccc(OCc2nnc(C)c(C)n2)cn1,230.27,1.77,60.79,0,5,3,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016B1DF060>,only_pos2_bridged,False,True,False,True,False,False,False,False,True,False,False,pos2_notinring,2.0,2.0,False,True,0.36538461538461536,,
TRZ02240,Cc1nnc(C(NC(=O)Cn2c(C(F)(F)F)nc3ccccc32)C(C)C)nc1C,406.41,3.37,85.59,1,5,5,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016B1E09E0>,only_pos2_bridged,False,True,False,True,False,False,False,False,True,False,False,pos2_notinring,3.0,2.0,False,True,0.22784810126582278,,
TRZ02241,Cc1nnc(C(CC(C)C)NC(=O)Cn2c(C(F)(F)F)nc3ccccc32)nc1C,420.44,3.76,85.59,1,5,6,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016B1E0A50>,only_pos2_bridged,False,True,False,True,False,False,False,False,True,False,False,pos2_notinring,3.0,2.0,False,True,0.2222222222222222,,
TRZ02242,Cc1nnc(C(Cc2ccccc2)NC(=O)Cn2c(C(F)(F)F)nc3ccccc32)nc1C,454.46,3.96,85.59,1,5,6,4,1,<rdkit.Chem.rdchem.Mol object at 0x000002016B1E0AC0>,only_pos2_bridged,False,True,False,True,False,False,False,False,True,False,False,pos2_notinring,4.0,2.0,False,True,0.21686746987951808,,
TRZ02273,Cc1nnc(C(C)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)OC(C)(C)C)nc1C,438.53,3.28,121.89,3,6,6,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016B1E1770>,only_pos2_bridged,False,True,False,True,False,False,False,False,True,False,False,pos2_notinring,3.0,3.0,False,True,0.20987654320987653,,
TRZ02279,Cc1nnc(CNC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)OCc2ccccc2)nc1C,458.52,3.12,121.89,3,6,8,4,1,<rdkit.Chem.rdchem.Mol object at 0x000002016B1E1A10>,only_pos2_bridged,False,True,False,True,False,False,False,False,True,False,False,pos2_notinring,4.0,3.0,False,True,0.21686746987951808,,
TRZ02298,C=CCc1ccc(OCc2nnc(C)c(C)n2)c(OC)c1,285.35,2.8,57.13,0,5,6,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016B1E2260>,only_pos2_bridged,False,True,False,True,False,False,False,False,True,False,False,pos2_notinring,2.0,2.0,False,True,0.3088235294117647,,
TRZ02322,COc1cc(C)ccc1OCc1nnc(C)c(C)n1,259.31,2.38,57.13,0,5,4,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016B1E2CE0>,only_pos2_bridged,False,True,False,True,False,False,False,False,True,False,False,pos2_notinring,2.0,2.0,False,True,0.41379310344827586,,
TRZ02344,Cc1nnc(CNC(=O)COc2ccc(Cl)cc2Cl)nc1C,341.2,2.49,77.0,1,5,5,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016B1E35A0>,only_pos2_bridged,False,True,False,True,False,False,False,False,True,False,False,pos2_notinring,2.0,2.0,False,True,0.2727272727272727,,
TRZ02410,Cc1nnc(CSc2ncnc3c(C)csc23)nc1C,303.42,3.09,64.45,0,7,3,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016B1E5230>,only_pos2_bridged,False,True,False,True,False,False,False,False,True,False,False,pos2_notinring,3.0,4.0,False,True,0.27419354838709675,,
TRZ02422,Cc1nnc(CSCCS(=O)(=O)c2ccccc2)nc1C,323.44,2.2,72.81,0,6,6,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016B1E5700>,only_pos2_bridged,False,True,False,True,False,False,False,False,True,False,False,pos2_notinring,2.0,3.0,False,True,0.24193548387096775,,
TRZ02428,Cc1nnc(CSCC(=O)Nc2ccc(C(C)(C)C)cc2)nc1C,344.48,3.66,67.77,1,5,5,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016B1E59A0>,only_pos2_bridged,False,True,False,True,False,False,False,False,True,False,False,pos2_notinring,2.0,2.0,False,True,0.3225806451612903,,
TRZ02437,Cc1nnc(C(C)Oc2cccc3cccnc23)nc1C,280.33,3.18,60.79,0,5,3,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016B1E5D90>,only_pos2_bridged,False,True,False,True,False,False,False,False,True,False,False,pos2_notinring,3.0,2.0,False,True,0.25806451612903225,,
TRZ02489,Cc1ccc2nc(-c3ccsc3)c(NCc3nnc(C)c(C)n3)n2c1,350.45,3.79,68.0,1,6,4,4,1,<rdkit.Chem.rdchem.Mol object at 0x000002016B1E7300>,only_pos2_bridged,False,True,False,True,False,False,False,False,True,False,False,pos2_notinring,4.0,3.0,False,True,0.24242424242424243,,
TRZ02870,Cc1nnc(COc2ccc(C(F)(F)F)cc2[N+](=O)[O-])nc1C,328.25,2.99,91.04,0,6,4,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016B1F1000>,only_pos2_bridged,False,True,False,True,False,False,False,False,True,False,False,pos2_notinring,2.0,3.0,False,True,0.4838709677419355,,
TRZ03205,COc1cc(F)ccc1OC(C)(C)c1nnc(C)c(C)n1,291.33,2.95,57.13,0,5,4,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016B1F94D0>,only_pos2_bridged,False,True,False,True,False,False,False,False,True,False,False,pos2_notinring,2.0,2.0,False,True,0.3225806451612903,,
TRZ04183,Cc1nnc([C@@H](NC(=O)c2cocn2)c2ccc(F)cc2F)nc1C,345.31,2.27,93.8,1,6,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016B20D7E0>,only_pos2_bridged,False,True,False,True,False,False,False,False,True,False,False,pos2_notinring,3.0,3.0,False,True,0.20253164556962025,,
TRZ04396,Cc1nnc(CN(C)CCN(C)Cc2cccc(C(F)(F)F)c2)nc1C,367.42,3.07,45.15,0,5,7,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016B211E00>,only_pos2_bridged,False,True,False,True,False,False,False,False,True,False,False,pos2_notinring,2.0,2.0,False,True,0.27941176470588236,,
TRZ04617,CCOc1cc(F)ccc1N(Cc1nnc(C)c(C)n1)c1ccnc(SC)n1,400.48,3.88,76.92,0,8,7,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016B216AB0>,only_pos2_bridged,False,True,False,True,False,False,False,False,True,False,False,pos2_notinring,3.0,5.0,False,True,0.2077922077922078,,
TRZ04949,Cc1cc(C(=O)N[C@H](C(=O)N[C@@H](Cc2ccc(F)cc2)c2nnc(C)c(C)n2)C(C)C)no1,454.51,2.78,122.9,2,7,8,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016B21D770>,only_pos2_bridged,False,True,False,True,False,False,False,False,True,False,False,pos2_notinring,3.0,4.0,False,True,0.2,,
TRZ05104,CCn1c(C)c(C(=O)Nc2ccc(F)c(C)c2)c(C)c1C(=O)C(=O)NC(C)(C)c1nnc(C)c(C)n1,494.57,3.86,118.87,2,6,7,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016B220890>,only_pos2_bridged,False,True,False,True,False,False,False,False,True,False,False,pos2_notinring,3.0,3.0,False,True,0.1797752808988764,,
TRZ05447,CCc1c(F)cc(F)cc1OC(C)C(=O)N(Cc1nnc(C)c(C)n1)Cc1ccc(C#N)cc1F,483.49,4.34,92.0,0,6,8,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016B227ED0>,only_pos2_bridged,False,True,False,True,False,False,False,False,True,False,False,pos2_notinring,3.0,3.0,False,True,0.20430107526881722,,
TRZ05448,Cc1nnc(CN(Cc2ccc(C#N)nc2)C(=O)COc2cc(F)cc(F)c2Cl)nc1C,458.86,3.29,104.89,0,7,7,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016B227F40>,only_pos2_bridged,False,True,False,True,False,False,False,False,True,False,False,pos2_notinring,3.0,4.0,False,True,0.2159090909090909,,
TRZ00072,Cc1nnc(-c2nc3ccccc3s2)nc1C,242.31,2.77,51.56,0,5,1,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A546C00>,only_pos2_notbridged,False,True,False,False,False,True,False,True,False,False,False,pos2_inring,3.0,2.0,False,True,0.4222222222222222,,
TRZ00111,Cc1cc(C)cc(OCc2ccc(-c3nnc(C)c(C)n3)o2)c1,309.37,3.94,61.04,0,5,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A547CA0>,only_pos2_notbridged,False,True,False,False,False,True,False,True,False,False,False,pos2_inring,3.0,2.0,False,True,0.717391304347826,,
TRZ00112,Cc1nnc(-c2ccc(COc3ccc4ccccc4c3)o2)nc1C,331.38,4.48,61.04,0,5,4,4,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A547D10>,only_pos2_notbridged,False,True,False,False,False,True,False,True,False,False,False,pos2_inring,4.0,2.0,False,True,1.0,,
TRZ00116,COc1ccccc1OCc1ccc(-c2nnc(C)c(C)n2)o1,311.34,3.34,70.27,0,6,5,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A547ED0>,only_pos2_notbridged,False,True,False,False,False,True,False,True,False,False,False,pos2_inring,3.0,3.0,False,True,0.6666666666666666,,
TRZ00117,Cc1nnc(-c2ccc(COc3ccc([N+](=O)[O-])cc3)o2)nc1C,326.31,3.24,104.18,0,7,5,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A547F40>,only_pos2_notbridged,False,True,False,False,False,True,False,True,False,False,False,pos2_inring,3.0,4.0,False,True,1.0,,
TRZ00120,Cc1cc(C)n(Cc2ccc(-c3nnc(C)c(C)n3)o2)n1,283.34,2.61,69.63,0,5,3,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A548120>,only_pos2_notbridged,False,True,False,False,False,True,False,True,False,False,False,pos2_inring,3.0,2.0,False,True,0.48148148148148145,,
TRZ00121,Cc1nnc(-c2ccc(Cn3nc(C)c(Cl)c3C)o2)nc1C,317.78,3.26,69.63,0,5,3,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A548190>,only_pos2_notbridged,False,True,False,False,False,True,False,True,False,False,False,pos2_inring,3.0,2.0,False,True,0.44642857142857145,,
TRZ00126,Cc1nnc(-c2ccc(Cn3cccn3)o2)nc1C,255.28,1.99,69.63,0,5,3,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A548350>,only_pos2_notbridged,False,True,False,False,False,True,False,True,False,False,False,pos2_inring,3.0,2.0,False,True,0.48148148148148145,,
TRZ00127,CCOc1ccc(OCc2ccc(-c3nnc(C)c(C)n3)o2)cc1,325.37,3.73,70.27,0,6,6,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A5483C0>,only_pos2_notbridged,False,True,False,False,False,True,False,True,False,False,False,pos2_inring,3.0,3.0,False,True,0.717391304347826,,
TRZ00249,Cc1nnc(/C(=C\c2ccco2)NC(=O)c2ccco2)nc1C,310.31,2.6,94.05,1,6,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A54B7D0>,only_pos2_notbridged,False,True,False,False,False,True,False,False,True,False,False,pos2_notinring,3.0,3.0,False,True,0.203125,,
TRZ00259,Cc1nnc(-c2ccc(COc3ccc(C(C)(C)C)cc3)o2)nc1C,337.42,4.62,61.04,0,5,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A54BC30>,only_pos2_notbridged,False,True,False,False,False,True,False,True,False,False,False,pos2_inring,3.0,2.0,False,True,0.673469387755102,,
TRZ00287,Cc1nnc(-c2scc(S(=O)(=O)C(C)C)c2Cl)nc1C,331.85,3.05,72.81,0,6,3,2,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A540890>,only_pos2_notbridged,False,True,False,False,False,True,False,True,False,False,False,pos2_inring,2.0,3.0,False,True,0.3508771929824561,,
TRZ00295,Cc1nnc(-c2ccc(Cn3nc([N+](=O)[O-])c(Cl)c3C)o2)nc1C,348.75,2.86,112.77,0,7,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A540C10>,only_pos2_notbridged,False,True,False,False,False,True,False,True,False,False,False,pos2_inring,3.0,4.0,False,True,0.5166666666666667,,
TRZ00296,Cc1nnc(-c2ccc(COc3cccc4ccccc34)o2)nc1C,331.38,4.48,61.04,0,5,4,4,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A540C80>,only_pos2_notbridged,False,True,False,False,False,True,False,True,False,False,False,pos2_inring,4.0,2.0,False,True,0.66,,
TRZ00355,CCc1c(-c2nnc(C)c(C)n2)ncc2[nH]c3cc(OC)c(OC)cc3c12,363.42,3.76,85.81,1,6,4,4,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A542180>,only_pos2_notbridged,False,True,False,False,False,True,False,True,False,False,False,pos2_inring,4.0,3.0,False,True,0.2857142857142857,,
TRZ00371,Cc1ccc(C)c(OCc2ccc(-c3nnc(C)c(C)n3)o2)c1,309.37,3.94,61.04,0,5,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A5425E0>,only_pos2_notbridged,False,True,False,False,False,True,False,True,False,False,False,pos2_inring,3.0,2.0,False,True,0.6792452830188679,,
TRZ00374,Cc1ccc(OCc2ccc(-c3nnc(C)c(C)n3)o2)cc1C,309.37,3.94,61.04,0,5,4,3,1,<rdkit.Chem.rdchem.Mol object at 0x000002016A542730>,only_pos2_notbridged,False,True,False,False,False,True,False,True,False,False,False,pos2_inring,3.0,2.0,False,True,0.7608695652173914,,
