molecule_id,triazine_smiles,metal,cmplx_smiles
TRZ00037,Cc1ccc(NC(=O)c2nnc(C)c(C)n2)cc1,Fe3+,Cc1ccc(NC(=O)c2nnc(C)c(C)n2)cc1.[Fe+3]
TRZ00038,Cc1nnc(-c2cnn(-c3ccccc3)c2C(F)(F)F)nc1C,Cu2+,Cc1nnc(-c2cnn(-c3ccccc3)c2C(F)(F)F)nc1C.[Cu+2]
TRZ00038,Cc1nnc(-c2cnn(-c3ccccc3)c2C(F)(F)F)nc1C,Zn2+,Cc1nnc(-c2cnn(-c3ccccc3)c2C(F)(F)F)nc1C.[Zn+2]
TRZ00038,Cc1nnc(-c2cnn(-c3ccccc3)c2C(F)(F)F)nc1C,Fe2+,Cc1nnc(-c2cnn(-c3ccccc3)c2C(F)(F)F)nc1C.[Fe+2]
TRZ00038,Cc1nnc(-c2cnn(-c3ccccc3)c2C(F)(F)F)nc1C,Fe3+,Cc1nnc(-c2cnn(-c3ccccc3)c2C(F)(F)F)nc1C.[Fe+3]
TRZ00039,Cc1nnc(CCn2c3ccccc3c3ccccc32)nc1C,Cu2+,Cc1nnc(CCn2c3ccccc3c3ccccc32)nc1C.[Cu+2]
TRZ00039,Cc1nnc(CCn2c3ccccc3c3ccccc32)nc1C,Zn2+,Cc1nnc(CCn2c3ccccc3c3ccccc32)nc1C.[Zn+2]
TRZ00039,Cc1nnc(CCn2c3ccccc3c3ccccc32)nc1C,Fe2+,Cc1nnc(CCn2c3ccccc3c3ccccc32)nc1C.[Fe+2]
TRZ00039,Cc1nnc(CCn2c3ccccc3c3ccccc32)nc1C,Fe3+,Cc1nnc(CCn2c3ccccc3c3ccccc32)nc1C.[Fe+3]
TRZ00042,Cc1nnc(-c2cnccn2)nc1C,Cu2+,Cc1nnc(-c2cnccn2)nc1C.[Cu+2]
TRZ00042,Cc1nnc(-c2cnccn2)nc1C,Zn2+,Cc1nnc(-c2cnccn2)nc1C.[Zn+2]
TRZ00042,Cc1nnc(-c2cnccn2)nc1C,Fe2+,Cc1nnc(-c2cnccn2)nc1C.[Fe+2]
TRZ00042,Cc1nnc(-c2cnccn2)nc1C,Fe3+,Cc1nnc(-c2cnccn2)nc1C.[Fe+3]
TRZ00043,Cc1nnc(Cn2nc(C)c(Br)c2C)nc1C,Cu2+,Cc1nnc(Cn2nc(C)c(Br)c2C)nc1C.[Cu+2]
TRZ00043,Cc1nnc(Cn2nc(C)c(Br)c2C)nc1C,Zn2+,Cc1nnc(Cn2nc(C)c(Br)c2C)nc1C.[Zn+2]
TRZ00043,Cc1nnc(Cn2nc(C)c(Br)c2C)nc1C,Fe2+,Cc1nnc(Cn2nc(C)c(Br)c2C)nc1C.[Fe+2]
TRZ00043,Cc1nnc(Cn2nc(C)c(Br)c2C)nc1C,Fe3+,Cc1nnc(Cn2nc(C)c(Br)c2C)nc1C.[Fe+3]
TRZ00044,Cc1cc(C)nc(SCc2nnc(C)c(C)n2)n1,Cu2+,Cc1cc(C)nc(SCc2nnc(C)c(C)n2)n1.[Cu+2]
TRZ00044,Cc1cc(C)nc(SCc2nnc(C)c(C)n2)n1,Zn2+,Cc1cc(C)nc(SCc2nnc(C)c(C)n2)n1.[Zn+2]
TRZ00044,Cc1cc(C)nc(SCc2nnc(C)c(C)n2)n1,Fe2+,Cc1cc(C)nc(SCc2nnc(C)c(C)n2)n1.[Fe+2]
TRZ00044,Cc1cc(C)nc(SCc2nnc(C)c(C)n2)n1,Fe3+,Cc1cc(C)nc(SCc2nnc(C)c(C)n2)n1.[Fe+3]
TRZ00045,COc1ccccc1-c1cc(-c2nnc(C)c(C)n2)[nH]n1,Cu2+,COc1ccccc1-c1cc(-c2nnc(C)c(C)n2)[nH]n1.[Cu+2]
TRZ00045,COc1ccccc1-c1cc(-c2nnc(C)c(C)n2)[nH]n1,Zn2+,COc1ccccc1-c1cc(-c2nnc(C)c(C)n2)[nH]n1.[Zn+2]
TRZ00045,COc1ccccc1-c1cc(-c2nnc(C)c(C)n2)[nH]n1,Fe2+,COc1ccccc1-c1cc(-c2nnc(C)c(C)n2)[nH]n1.[Fe+2]
TRZ00045,COc1ccccc1-c1cc(-c2nnc(C)c(C)n2)[nH]n1,Fe3+,COc1ccccc1-c1cc(-c2nnc(C)c(C)n2)[nH]n1.[Fe+3]
TRZ00046,Cc1nnc(-c2cn3ccc4ccccc4c3n2)nc1C,Cu2+,Cc1nnc(-c2cn3ccc4ccccc4c3n2)nc1C.[Cu+2]
TRZ00046,Cc1nnc(-c2cn3ccc4ccccc4c3n2)nc1C,Zn2+,Cc1nnc(-c2cn3ccc4ccccc4c3n2)nc1C.[Zn+2]
TRZ00046,Cc1nnc(-c2cn3ccc4ccccc4c3n2)nc1C,Fe2+,Cc1nnc(-c2cn3ccc4ccccc4c3n2)nc1C.[Fe+2]
TRZ00046,Cc1nnc(-c2cn3ccc4ccccc4c3n2)nc1C,Fe3+,Cc1nnc(-c2cn3ccc4ccccc4c3n2)nc1C.[Fe+3]
TRZ00047,Cc1nnc(-c2ccccc2OCc2ccccc2)nc1C,Cu2+,Cc1nnc(-c2ccccc2OCc2ccccc2)nc1C.[Cu+2]
TRZ00047,Cc1nnc(-c2ccccc2OCc2ccccc2)nc1C,Zn2+,Cc1nnc(-c2ccccc2OCc2ccccc2)nc1C.[Zn+2]
TRZ00047,Cc1nnc(-c2ccccc2OCc2ccccc2)nc1C,Fe2+,Cc1nnc(-c2ccccc2OCc2ccccc2)nc1C.[Fe+2]
TRZ00047,Cc1nnc(-c2ccccc2OCc2ccccc2)nc1C,Fe3+,Cc1nnc(-c2ccccc2OCc2ccccc2)nc1C.[Fe+3]
TRZ00048,Cc1nnc(-c2[nH]c3ccc(S(N)(=O)=O)cc3c2-c2ccccc2)nc1C,Cu2+,Cc1nnc(-c2[nH]c3ccc(S(N)(=O)=O)cc3c2-c2ccccc2)nc1C.[Cu+2]
TRZ00048,Cc1nnc(-c2[nH]c3ccc(S(N)(=O)=O)cc3c2-c2ccccc2)nc1C,Zn2+,Cc1nnc(-c2[nH]c3ccc(S(N)(=O)=O)cc3c2-c2ccccc2)nc1C.[Zn+2]
TRZ00048,Cc1nnc(-c2[nH]c3ccc(S(N)(=O)=O)cc3c2-c2ccccc2)nc1C,Fe2+,Cc1nnc(-c2[nH]c3ccc(S(N)(=O)=O)cc3c2-c2ccccc2)nc1C.[Fe+2]
TRZ00048,Cc1nnc(-c2[nH]c3ccc(S(N)(=O)=O)cc3c2-c2ccccc2)nc1C,Fe3+,Cc1nnc(-c2[nH]c3ccc(S(N)(=O)=O)cc3c2-c2ccccc2)nc1C.[Fe+3]
TRZ00050,Cc1nnc(-c2ccc3ccccc3n2)nc1C,Cu2+,Cc1nnc(-c2ccc3ccccc3n2)nc1C.[Cu+2]
TRZ00050,Cc1nnc(-c2ccc3ccccc3n2)nc1C,Zn2+,Cc1nnc(-c2ccc3ccccc3n2)nc1C.[Zn+2]
